location,country,country_code,"lat,lng"
TAIWAN,Taiwan,TW,"(23.69781, 120.960515)"
US,United States,US,"(37.09024, -95.712891)"
PHILIPPINES,Philippines,PH,"(12.879721, 121.774017)"
BENFICA,unknown,unknown,"(0, 0)"
SINGAPORE,Singapore,SG,"(1.352083, 103.819836)"
SPAIN,Spain,ES,"(40.46366700000001, -3.74922)"
CHINA,China,CN,"(35.86166, 104.195397)"
SOUTH KOREA,South Korea,KR,"(35.907757, 127.766922)"
JAPAN,Japan,JP,"(36.204824, 138.252924)"
US,United States,US,"(37.09024, -95.712891)"
UKRAINE,Ukraine,UA,"(48.379433, 31.16558)"
CHINA,China,CN,"(35.86166, 104.195397)"
OPENAI,unknown,unknown,"(0, 0)"
CHINA,China,CN,"(35.86166, 104.195397)"
TAIWAN,Taiwan,TW,"(23.69781, 120.960515)"
CHINA,China,CN,"(35.86166, 104.195397)"
BASEL,Switzerland,CH,"(47.5595986, 7.5885761)"
PHILIPPINES,Philippines,PH,"(12.879721, 121.774017)"
US,United States,US,"(37.09024, -95.712891)"
CHINA,China,CN,"(35.86166, 104.195397)"
NORTHERN IRELAND,United Kingdom,GB,"(54.7877149, -6.4923145)"
JAPAN,Japan,JP,"(36.204824, 138.252924)"
TOKYO,Japan,JP,"(35.6761919, 139.6503106)"
UNITED STATES,United States,US,"(37.09024, -95.712891)"
CHINA,China,CN,"(35.86166, 104.195397)"
US,United States,US,"(37.09024, -95.712891)"
SINGAPORE,Singapore,SG,"(1.352083, 103.819836)"
NAPOLI,unknown,unknown,"(0, 0)"
MILAN,Italy,IT,"(45.4642035, 9.189982)"
AUSTRALIA,Australia,AU,"(-25.274398, 133.775136)"
CHINA,China,CN,"(35.86166, 104.195397)"
SUGAR,unknown,unknown,"(0, 0)"
IRAN,Iran,IR,"(32.427908, 53.688046)"
SYRIA,Syria,SY,"(34.80207499999999, 38.996815)"
ECUADOR,Ecuador,EC,"(-1.831239, -78.18340599999999)"
SOUTH KOREA,South Korea,KR,"(35.907757, 127.766922)"
AUSTRALIA,Australia,AU,"(-25.274398, 133.775136)"
ENGLAND,United Kingdom,GB,"(52.3555177, -1.1743197)"
NEW ZEALAND,New Zealand,NZ,"(-40.900557, 174.885971)"
NIGERIA,Nigeria,NG,"(9.081999, 8.675277)"
SOMALIA,Somalia,SO,"(5.152149, 46.199616)"
BANGKOK,Thailand,TH,"(13.7563309, 100.5017651)"
LAS VEGAS,United States,US,"(36.171563, -115.1391009)"
BEIJING,China,CN,"(39.904211, 116.407395)"
RUSSIA,Russia,RU,"(61.52401, 105.318756)"
ROAD,unknown,unknown,"(0, 0)"
CHINA,China,CN,"(35.86166, 104.195397)"
CHINA,China,CN,"(35.86166, 104.195397)"
TAIWAN,Taiwan,TW,"(23.69781, 120.960515)"
US,United States,US,"(37.09024, -95.712891)"
ITALY,Italy,IT,"(41.87194, 12.56738)"
CHINA,China,CN,"(35.86166, 104.195397)"
BENFICA,unknown,unknown,"(0, 0)"
TAIWAN,Taiwan,TW,"(23.69781, 120.960515)"
SINGAPORE,Singapore,SG,"(1.352083, 103.819836)"
IVORY COAST,Côte d'Ivoire,CI,"(7.539988999999999, -5.547079999999999)"
LOS ANGELES,United States,US,"(34.0522342, -118.2436849)"
MANHATTAN,United States,US,"(40.7830603, -73.9712488)"
JAPAN,Japan,JP,"(36.204824, 138.252924)"
OSAKA,Japan,JP,"(34.6937249, 135.5022535)"
US,United States,US,"(37.09024, -95.712891)"
THAILAND,Thailand,TH,"(15.870032, 100.992541)"
TURKEY,Türkiye,TR,"(38.963745, 35.243322)"
RUSSIA,Russia,RU,"(61.52401, 105.318756)"
US,United States,US,"(37.09024, -95.712891)"
BRITAIN,United Kingdom,GB,"(55.378051, -3.435973)"
EV,unknown,unknown,"(0, 0)"
SOUTH KOREA,South Korea,KR,"(35.907757, 127.766922)"
US,United States,US,"(37.09024, -95.712891)"
TAIWAN,Taiwan,TW,"(23.69781, 120.960515)"
US,United States,US,"(37.09024, -95.712891)"
SOUTH KOREA’S,South Korea,KR,"(35.907757, 127.766922)"
BRAZIL,Brazil,BR,"(-14.235004, -51.92528)"
LEICESTER CITY,United Kingdom,GB,"(52.6368778, -1.1397592)"
ENGLAND,United Kingdom,GB,"(52.3555177, -1.1743197)"
ONTARIO,Canada,CA,"(51.253775, -85.3232139)"
SINGAPORE,Singapore,SG,"(1.352083, 103.819836)"
US,United States,US,"(37.09024, -95.712891)"
CHINA,China,CN,"(35.86166, 104.195397)"
BINANCE,France,FR,"(48.8162375, 2.329013)"
US,United States,US,"(37.09024, -95.712891)"
JAPAN,Japan,JP,"(36.204824, 138.252924)"
UKRAINE,Ukraine,UA,"(48.379433, 31.16558)"
US,United States,US,"(37.09024, -95.712891)"
US,United States,US,"(37.09024, -95.712891)"
US,United States,US,"(37.09024, -95.712891)"
ASIA-PACIFIC STEVIE AWARDS,unknown,unknown,"(0, 0)"
ENGLAND,United Kingdom,GB,"(52.3555177, -1.1743197)"
IMPERVA,unknown,unknown,"(0, 0)"
SINGAPORE,Singapore,SG,"(1.352083, 103.819836)"
PHILIPPINES,Philippines,PH,"(12.879721, 121.774017)"
US,United States,US,"(37.09024, -95.712891)"
