link,title,body,summary,publish_date
https://www.channelnewsasia.com/business/tsmcs-taiwan-investment-plan-has-not-changed-says-minister-3412021,"TSMC's Taiwan investment plan has not changed, says minister","TAIPEI : Taiwan's TSMC has not changed the investment plan for its new chip factory in the island's southern city of Kaohsiung, Economy Minister Wang Mei-hua said on Wednesday, responding to a media report of the chipmaker slowing down expansion at home.

""TSMC making Taiwan its global R&D hub and manufacturing hub has not changed,"" Wang told reporters on the sidelines of parliament. ""TSMC investing in Taiwan, investing in Kaohsiung, also has not changed.""

Wang's comments come after Taiwan's DigiTimes publication reported, citing sources, that TSMC is slowing down its expansion plans in Kaohsiung and other Taiwanese cities.

Taiwan Semiconductor Manufacturing Co Ltd (TSMC), a major Apple supplier, declined to comment, citing its quiet period ahead of quarterly earnings due next week.

The chipmaker broke ground last year on its Kaohsiung plant, which will produce mature 28-nanometer semiconductors.

In 2021, TSMC said the Kaohsiung expansion would also include advanced 7-nanometer chips, but the company later postponed plans to build the advanced chips there.

TSMC, the world's largest contract chipmaker, said in January it expects softer demand due to a slowing global economy and would decrease its capital expenditure this year to $32-$36 billion, from $36.3 billion last year.

The company has in recent years ramped up investments abroad, announcing new chip factories in the United States and Japan.

TSMC's shares were down about 1 per cent on Wednesday morning, lagging the broader market.","TAIPEI : Taiwan's TSMC has not changed the investment plan for its new chip factory in the island's southern city of Kaohsiung, Economy Minister Wang Mei-hua said on Wednesday, responding to a media report of the chipmaker slowing down expansion at home.
""TSMC making Taiwan its global R&D hub and manufacturing hub has not changed,"" Wang told reporters on the sidelines of parliament.
""TSMC investing in Taiwan, investing in Kaohsiung, also has not changed.""
Wang's comments come after Taiwan's DigiTimes publication reported, citing sources, that TSMC is slowing down its expansion plans in Kaohsiung and other Taiwanese cities.
Taiwan Semiconductor Manufacturing Co Ltd (TSMC), a major Apple supplier, declined to comment, citing its quiet period ahead of quarterly earnings due next week.",None
https://www.straitstimes.com/asia/se-asia/us-philippines-agree-to-complete-security-assistance-road-map-in-5-10-years,"US, Philippines agree to complete security assistance road map in 5-10 years","WASHINGTON – The top defence and diplomatic officials from the US and Philippines agreed on Tuesday to complete a road map on US security assistance to the Philippines in the next five to 10 years, US Defence Secretary Lloyd Austin said on Tuesday.

Mr Austin said the long-time allies discussed the delivery of “priority defence platforms”, including radars, drones, military transport aircraft and coastal and air defence systems at a so-called “2+2 meeting” in Washington, which also involved US Secretary of State Antony Blinken and the Philippine counterparts of Mr Austin and Mr Blinken.

Philippine Foreign Minister Enrique Manalo said the two sides “redoubled” their commitment to modernising the Philippine-US alliance in recognition that “our partnership will need to play a stronger role in preserving an international law-based international order”.

Experts, including former US defence officials, say the United States sees the Philippines as a potential location for rockets, missiles and artillery systems to counter a Chinese amphibious invasion of Taiwan, which China claims as its own.

Mr Austin said that it was “too early” to discuss what assets the US would like to station at military bases in the Philippines under a recently expanded Enhanced Defence Cooperation Agreement (EDCA).

Mr Manalo said the EDCA sites were mainly aimed at improving military interoperability and addressing potential humanitarian disasters, “and perhaps respond to other types of security challenges”, but did not elaborate.

The Pentagon has not specifically said what the additional sites will be used for, except that work would include airport expansion and training involving naval assets.

Mr Manalo said on Monday that Washington and Manila will need to discuss what the US may do with its access to the EDCA sites.

The agreement allows US access to Philippine bases for joint training, pre-positioning of equipment and building of facilities such as runways, fuel storage and military housing, but not a permanent presence.

Relations between the two countries have warmed considerably under Philippine President Ferdinand Marcos Jr, and the 2+2 meeting underlined that as the first of its kind in seven years. But Manila treads a delicate path with China, the region’s economic powerhouse.

Mr Marcos assured China on Monday that military bases accessible to the US would not be used in offensive action, stressing that the arrangement with Washington was designed to boost his country’s defences. REUTERS","WASHINGTON – The top defence and diplomatic officials from the US and Philippines agreed on Tuesday to complete a road map on US security assistance to the Philippines in the next five to 10 years, US Defence Secretary Lloyd Austin said on Tuesday.
Mr Austin said that it was “too early” to discuss what assets the US would like to station at military bases in the Philippines under a recently expanded Enhanced Defence Cooperation Agreement (EDCA).
Mr Manalo said on Monday that Washington and Manila will need to discuss what the US may do with its access to the EDCA sites.
But Manila treads a delicate path with China, the region’s economic powerhouse.
Mr Marcos assured China on Monday that military bases accessible to the US would not be used in offensive action, stressing that the arrangement with Washington was designed to boost his country’s defences.",2023-04-12 06:35:50+08:00
https://www.straitstimes.com/life/arts/hum-theatre-uses-humour-to-explore-cultural-clashes-in-we-are-like-this-only-3,HuM Theatre uses humour to explore cultural clashes in We Are Like This Only 3,"SINGAPORE – Cultural clashes can be nasty, but HuM Theatre has taken on the job of humorously tackling the sometimes thorny relationship between Singaporean Chinese and newly immigrated Indians.

We Are Like This Only 3 discusses racial tensions, racism and xenophobia with the help of two Chinese cast members, Jo Tan and Hang Qian Chou, who play the Ngs, a married couple.","SINGAPORE – Cultural clashes can be nasty, but HuM Theatre has taken on the job of humorously tackling the sometimes thorny relationship between Singaporean Chinese and newly immigrated Indians.
We Are Like This Only 3 discusses racial tensions, racism and xenophobia with the help of two Chinese cast members, Jo Tan and Hang Qian Chou, who play the Ngs, a married couple.",2023-04-12 14:00:00+08:00
https://www.channelnewsasia.com/sport/inters-second-half-double-benfica-puts-them-course-semis-3411421,Inter's second-half double at Benfica puts them on course for semis,"LISBON: Inter Milan struck in the second half through Nicolo Barella and Romelu Lukaku for a 2-0 win at Benfica in their Champions League quarter-final, first leg on Tuesday (Apr 11) which put them on course for a first last-four appearance since they won the trophy in 2010.

Barella headed home firmly at the back post in the 51st minute, rising unchallenged to get on the end of a superb cross from centre back Alessandro Bastoni, who was storming up the left side and delivered a pin-point ball.

Substitute Lukaku then converted an 82nd minute penalty after VAR referred a handball by Benfica skipper Joao Mario for review by English referee Michael Oliver, who gave the spot kick after looking at the video monitor.

The two goals hand Inter a major advantage for the return leg at San Siro next Wednesday, where they will be heavily fancied to progress to an all-Italian semi-final against either neighbours AC Milan or Napoli who meet this Wednesday.

Barella’s goal exposed Benfica’s nervy defence but the penalty was unfortunate as a Denzel Dumfries cross hit Joao Mario on his head and then his upright arm inside the box.

But Inter deserved their victory, conjuring up the better chances with Benfica’s Odysseas Vlachodimos making important second-half saves to deny Henrikh Mkhitaryan and Dumfries and avert an even heavier defeat.

“One of the best matches of this season. We deserved to win, we played very well. We have taken the first step, we hope to do everything to advance,” Mkhitaryan told reporters.

Inter, who beat Benfica’s domestic rivals Porto in the previous round with a stoic defensive performance away in the second leg, were surprisingly adventurous at the start on their return to Portugal and dominated the early skirmishes.

But it was Benfica’s dangerous playmaker Rafa Silva who conjured up the first effort on target, firing straight at Inter goalkeeper Andre Onana after picking up a botched clearance by Federico Dimarco in the 16th minute.

Soon after, Joao Mario’s tempting cross flashed across the face of goal before Inter had their first effort - a powerful long-range shot by Francesco Acerbi that swerved dangerously close to the Benfica goal.

The hosts might have equalised five minutes after Barella scored but Dumfries got in the way during a goalmouth melee as Benfica’s strikers looked to sweep home a cross from Joao Mario that caused chaos.

Lukaku's precise penalty put Inter firmly in the driving seat before Onana made a vital stop on the final whistle to deny Goncalo Ramos a goal that would have given Benfica hope.

Benfica midfielder Chiquinho said: ""We knew it was going to be a difficult game, against a quality team. But nothing is lost. We are going to Milan to turn the result around.""","Substitute Lukaku then converted an 82nd minute penalty after VAR referred a handball by Benfica skipper Joao Mario for review by English referee Michael Oliver, who gave the spot kick after looking at the video monitor.
Barella’s goal exposed Benfica’s nervy defence but the penalty was unfortunate as a Denzel Dumfries cross hit Joao Mario on his head and then his upright arm inside the box.
Soon after, Joao Mario’s tempting cross flashed across the face of goal before Inter had their first effort - a powerful long-range shot by Francesco Acerbi that swerved dangerously close to the Benfica goal.
Lukaku's precise penalty put Inter firmly in the driving seat before Onana made a vital stop on the final whistle to deny Goncalo Ramos a goal that would have given Benfica hope.
Benfica midfielder Chiquinho said: ""We knew it was going to be a difficult game, against a quality team.",None
https://www.straitstimes.com/business/cards-are-king-when-it-comes-to-making-payment-in-singapore-report,Cards are king when it comes to making payment in Singapore: Report,"In the Asia-Pacific region, digital wallet usage is expected to account for the most e-commerce (73 per cent) and POS (59 per cent) transaction value by 2026. In 2022, it was 69 per cent and 47 per cent respectively.

The report found the adoption of digital wallets by Singapore consumers lagging behind that in other South-east Asian markets, particularly for POS transactions, where e-wallets came in at 18 per cent in 2022.

Ms Yvonne Szeto, vice-president for commercial Asia-Pacific at Worldpay (FIS), believes this is “just a function of consumer habit”, given that credit cards are an established payment method in Singapore. Habits could change over time, especially with many retailers in Singapore now offering digital payment methods of various sorts at the point of sale.

Vantage Markets’ global payment manager, Mr Edward Ong, noted that shopping behaviour is ingrained, adding: “Everyone uses credit cards. (They know) which card to use when shopping for groceries and which one gives you the best cashback... so it’s very hard to change this behaviour.”

Singapore is a “very mature market” where the availability of credit cards and cards of all types is well established, observed Mr Nagesh Devata, senior vice-president for the Asia-Pacific at Payoneer. It also has more alternative payment providers meeting different consumer segments, including wallets provided specially for cross-border use or gaming.

He added: “Consumers are spoilt for choice... You start to think about how to compartmentalise your spending as a consumer. Do I use my card for certain types of transactions? You know, maybe I only use it for travel, but maybe for my daily use, I’m going to use my e-wallet.”

It would also be helpful for merchants to understand their customer demographics and payment preferences, suggested Ms Szeto. A recent survey by Visa showed that more than 40 per cent of Singaporeans chose not to make a purchase when they encountered a shop that lacked digital payment options.

Ms Szeto added: “For example, the younger generation, such as millennials and Gen Z, prefer that one-click checkout experience using the mobile phone, and perhaps the older generation do prefer (using) credit cards, debit cards and even cash. It’s just about offering various options to your customers and speaking to the payment service provider to understand the market you operate in.”","The report found the adoption of digital wallets by Singapore consumers lagging behind that in other South-east Asian markets, particularly for POS transactions, where e-wallets came in at 18 per cent in 2022.
Ms Yvonne Szeto, vice-president for commercial Asia-Pacific at Worldpay (FIS), believes this is “just a function of consumer habit”, given that credit cards are an established payment method in Singapore.
Habits could change over time, especially with many retailers in Singapore now offering digital payment methods of various sorts at the point of sale.
Vantage Markets’ global payment manager, Mr Edward Ong, noted that shopping behaviour is ingrained, adding: “Everyone uses credit cards.
It also has more alternative payment providers meeting different consumer segments, including wallets provided specially for cross-border use or gaming.",2023-04-12 09:00:00+08:00
https://www.channelnewsasia.com/business/elon-musk-twitter-ai-chatgpt-project-engineering-3411886,Twitter working on AI despite Elon Musk's call for global pause: Report,"SAN FRANCISCO: Elon Musk is advancing an artificial intelligence project at Twitter despite recently calling for an overall pause in developing such technology, US media reports said Tuesday (Apr 11).

Musk has bought thousands of powerful, costly computing processors and hired AI engineering talent, Insider reported, while another tech-focused outlet, the Information, said the entrepreneur has floated the idea of starting a rival to ChatGPT.

Meanwhile, Musk has slashed staff at Twitter as part of dramatic cost cutting since his US$44 billion takeover of the San Francisco firm late last year.

The Insider report came less than two weeks after Musk joined experts in signing a letter calling for a hiatus in the development of AI.

The open letter, published on the website of the Musk-funded Future of Life Institute, urged a six-month pause in development of powerful AI systems.

The billionaire Tesla boss and other luminaries wrote that ""AI systems with human-competitive intelligence can pose profound risks to society and humanity"".

The signatories, who included academics and tech titans like Apple co-founder Steve Wozniak, argued that the pause should be used to bolster regulation and ensure the systems were safe.","SAN FRANCISCO: Elon Musk is advancing an artificial intelligence project at Twitter despite recently calling for an overall pause in developing such technology, US media reports said Tuesday (Apr 11).
Meanwhile, Musk has slashed staff at Twitter as part of dramatic cost cutting since his US$44 billion takeover of the San Francisco firm late last year.
The Insider report came less than two weeks after Musk joined experts in signing a letter calling for a hiatus in the development of AI.
The open letter, published on the website of the Musk-funded Future of Life Institute, urged a six-month pause in development of powerful AI systems.
The billionaire Tesla boss and other luminaries wrote that ""AI systems with human-competitive intelligence can pose profound risks to society and humanity"".",None
https://www.malaymail.com/news/money/2023/04/11/world-stocks-hold-on-to-upbeat-mood-dollar-stalls/64288,"World stocks hold on to upbeat mood, dollar stalls","LONDON, April 11 —World stocks rallied today, as traders held on to hope that interest rates will soon peak and come down later this year, even if latest US jobs data supported the case for a May hike from the Federal Reserve.

Those hopes were fanned by an analysis in the International Monetary Fund's latest World Economic Outlook that suggested the current high interest rates ""are likely to be temporary"" and predicted that, once inflation was brought under control, rates in advanced economies would eventually return to pre-pandemic levels.

Trading was largely sluggish as many markets reopened after a long holiday weekend. European stock markets opened broadly firmer, US stock futures pointed to a positive open for Wall Street shares and Japan's blue-chip Nikkei rallied over 1 per cent.

Supporting the case for global inflation easing further this year, data showed China's consumer inflation hit an 18-month low and factory-gate price declines sped up in March as demand remained weak.

South Korea's central bank held rates steady for a second consecutive meeting today, while the Bank of Canada is expected to leave rates unchanged when it meets tomorrow.

Friday's non-farm payrolls suggested labour markets remain resilient, boosting expectations for a 25 basis point (bps) US rate increase in May. Markets price in a roughly 70 per cent chance of a May hike, having last week priced such a move as a coin toss.

Traders still price in rate cuts by year-end as the economic growth outlook weakens, exacerbated by banking turmoil.

""It seems that we are currently in an environment that the world is looking at a soft landing and the need not to over tighten policy,"" said Nordea chief analyst Jan von Gerich.

""The payrolls number was strong enough to suggest that the economy could avoid a deeper recession but not too strong to suggest the Fed needs to tighten by much more.""

US March inflation data tomorrow could provide the next steer for markets on the rate outlook.

The dollar was broadly softer, giving up some its post-payrolls gains.

The dollar eased 0.3 per cent to 133.18 yen, after jumping 1.1 per cent yesterday. The euro was 0.3 per cent firmer at US$1.089 (RM4.8), while sterling rallied 0.35 per cent.

Bitcoin touched a fresh 10-month high at US$30,438 before pulling back to US$30,148, after breaking free of recent ranges on Monday. The digital token had been stuck between about US$26,500 and US$29,400 for the previous three weeks.

New BOJ chief

In Asia, MSCI's broadest index of Asia-Pacific shares outside Japan rose 0.57 per cent, while MSCI's world stock index was up 0.3 per cent.

Japanese government bond yields mostly fell, after new Bank of Japan Governor Kazuo Ueda vowed to maintain the bank's ultra-loose monetary policy.

In his first speech after assuming office, Ueda on Monday said it was appropriate to maintain the bank's monetary policy for now as inflation has yet to hit 2 per cent as a trend.

The 10-year JGB yield fell to as low as 0.445 per cent, its lowest since April 4, after hovering at 0.465 per cent in the previous session.

""His remarks gave investors a relief,"" said Keisuke Tsuruta, fixed income strategist at Mitsubishi UFJ Morgan Stanley Securities.

In Europe, 10-year government bond yields jumped around 10 bps in early trade, as markets played catch up with the rise in US yields following Friday's jobs data.

US Treasury yields edged down in European trade with rate sensitive two-year yields last down 3 bps at 3.96 per cent.

Elsewhere, oil prices rose on expectations of potential economic stimulus by China. Brent crude futures rose 61 cents, or 0.74 per cent, to US$84.81 a barrel, while US WTI futures gained 68 cents, or 0.83 per cent, to US$80.41 a barrel. — Reuters","European stock markets opened broadly firmer, US stock futures pointed to a positive open for Wall Street shares and Japan's blue-chip Nikkei rallied over 1 per cent.
Friday's non-farm payrolls suggested labour markets remain resilient, boosting expectations for a 25 basis point (bps) US rate increase in May.
The dollar eased 0.3 per cent to 133.18 yen, after jumping 1.1 per cent yesterday.
New BOJ chiefIn Asia, MSCI's broadest index of Asia-Pacific shares outside Japan rose 0.57 per cent, while MSCI's world stock index was up 0.3 per cent.
US Treasury yields edged down in European trade with rate sensitive two-year yields last down 3 bps at 3.96 per cent.",11/4/2023 0:00
https://www.channelnewsasia.com/business/spain-asks-eu-data-protection-board-discuss-openais-chatgpt-3410646,Spain asks EU data protection board to discuss OpenAI's ChatGPT,"MADRID/MILAN/PARIS: Spain's data protection agency has asked the European Union's privacy watchdog to evaluate privacy concerns surrounding OpenAI's ChatGPT, the agency told Reuters on Tuesday (Apr 11), as global scrutiny of artificial intelligence (AI) systems intensifies.

News of the request by the AEPD came as France's privacy watchdog CNIL said it was investigating several complaints about ChatGPT and Italy's data regulator was reviewing measures proposed by Microsoft Corp-backed OpenAI in response to concerns that led the regulator on March 31 to ban the chatbot temporarily. The Italian regulator's board was meeting on Tuesday.

The Biden administration also said it was seeking public comments on potential accountability measures for AI systems as questions loom about its impact on national security and education.

""The AEPD understands that global processing operations that may have a significant impact on the rights of individuals require coordinated decisions at European level,"" a spokesperson for the agency said in an emailed statement.

""Therefore, in the short term, it has requested that the issue of ChatGPT be included in the next Plenary of the European Data Protection Committee, so that harmonised actions can be implemented within the framework of the application of the General Data Protection Regulation.""

A plenary meeting of the European Data Protection Board (EDBP), which includes representatives of national data privacy watchdogs, is scheduled for Apr 13.

It was not immediately clear whether the ChatGPT topic would be discussed at the scheduled meeting this week.

In an emailed statement to Reuters, EDPB said it was not able to share information about meetings. The EDPB is generally not involved in investigations at a national level, which would the responsibility of national data protection authorities, it said.

The Italian regulator move has piqued the interest of other privacy regulators in Europe who are studying if harsher measures are needed for chatbots and whether to coordinate such actions.","MADRID/MILAN/PARIS: Spain's data protection agency has asked the European Union's privacy watchdog to evaluate privacy concerns surrounding OpenAI's ChatGPT, the agency told Reuters on Tuesday (Apr 11), as global scrutiny of artificial intelligence (AI) systems intensifies.
""Therefore, in the short term, it has requested that the issue of ChatGPT be included in the next Plenary of the European Data Protection Committee, so that harmonised actions can be implemented within the framework of the application of the General Data Protection Regulation.""
A plenary meeting of the European Data Protection Board (EDBP), which includes representatives of national data privacy watchdogs, is scheduled for Apr 13.
It was not immediately clear whether the ChatGPT topic would be discussed at the scheduled meeting this week.
The EDPB is generally not involved in investigations at a national level, which would the responsibility of national data protection authorities, it said.",None
https://www.malaymail.com/news/money/2023/04/11/erdogans-akp-aims-for-single-digit-inflation-55pc-growth-according-to-manifesto/64338,"Erdogan’s AKP aims for single-digit inflation, 5.5pc growth, according to manifesto","ANKARA, April 11 —President Tayyip Erdogan’s ruling AK Party (AKP) aims to bring Turkish inflation down to single digits and will continue to prioritise budget discipline, its manifesto for May 14 elections showed today.

The manifesto, the text of which was released as Erdogan made a speech to launch the party’s election campaign, said the party aimed to achieve annual economic growth of 5.5 per cent between 2024 and 2028, raising gross domestic product to US$1.5 trillion (RM6.6 trillion) by end-2028. — Reuters","ANKARA, April 11 —President Tayyip Erdogan’s ruling AK Party (AKP) aims to bring Turkish inflation down to single digits and will continue to prioritise budget discipline, its manifesto for May 14 elections showed today.
The manifesto, the text of which was released as Erdogan made a speech to launch the party’s election campaign, said the party aimed to achieve annual economic growth of 5.5 per cent between 2024 and 2028, raising gross domestic product to US$1.5 trillion (RM6.6 trillion) by end-2028.",11/4/2023 0:00
https://www.straitstimes.com/asia/east-asia/sandstorms-dangerous-pollution-return-to-beijing,China’s sandstorm problem spreads to South Korea and Japan,"BEIJING - Severe sandstorms that have been plaguing China for more than a month are now spreading to nearby regions, with dust particles affecting air quality from South Korea to Japan.

Fine dust particles from the Gobi Desert have been increasing in South Korea and could reach “very unhealthy” levels in Seoul as soon as Tuesday afternoon, according to AirKorea, which is managed by the nation’s Environment Ministry.

The sandstorms are forecast to reach Japan on Wednesday, affecting visibility in the central region that includes Tokyo, according to a forecast from the Japan Meteorological Agency.

The impact is spreading after sandstorms hit 18 provinces and cities in China on Monday night.

In Beijing, commuters biking home from work were caught off-guard by the sudden bursts of dusty wind, squinting to avoid grit stinging their eyes and having to wipe thin layers of yellow dirt from their faces when they got home.

State media reported that thick sandstorms will hit Beijing through Wednesday. The capital has seen regular air pollution and an unseasonal number of sandstorms over the past few weeks.

The concentration of fine particulates in the air in Beijing is currently 46.2 times the World Health Organisation’s annual air quality guideline value, according to IQAir, a website that issues air quality data and information.

A dozen provinces, including Shaanxi, Shanxi, Hebei, Shandong, Jiangsu, Anhui, Henan and Hubei, Inner Mongolia and metropolis Shanghai, will be affected by sandstorms and major dust until 8am local time on Wednesday, the Central Meteorological Observatory said.

Chinese forecasters have warned citizens of respiratory dangers and very low visibility while travelling.

They have issued a blue weather alert warning for sandstorms. China has a four-tier, colour-coded weather warning system, with red representing the most severe warning and blue the least severe.

The sandstorms were again a hot discussion topic on Weibo, China’s Twitter-like social media platform, racking up 2.178 million chats.

One user wrote: “What! When I wake up, why doesn’t anyone issue a holiday notice, do you still have to go to work in the dust today!”

Beijing has regular sandstorms in March and April as it is near the large Gobi Desert. Dry weather has amplified the impact this time, causing widespread fires torching grasslands in Mongolia and forests in China’s Sichuan province.

A Chinese government official at the Ministry of Ecology and Environment recently said the number of sandstorms was now four times higher than in the 1960s, a consequence of rising temperatures and lower precipitation in the deserts of north China and neighbouring Mongolia. BLOOMBERG, REUTERS","BEIJING - Severe sandstorms that have been plaguing China for more than a month are now spreading to nearby regions, with dust particles affecting air quality from South Korea to Japan.
The sandstorms are forecast to reach Japan on Wednesday, affecting visibility in the central region that includes Tokyo, according to a forecast from the Japan Meteorological Agency.
The concentration of fine particulates in the air in Beijing is currently 46.2 times the World Health Organisation’s annual air quality guideline value, according to IQAir, a website that issues air quality data and information.
China has a four-tier, colour-coded weather warning system, with red representing the most severe warning and blue the least severe.
The sandstorms were again a hot discussion topic on Weibo, China’s Twitter-like social media platform, racking up 2.178 million chats.",2023-04-11 09:54:32+08:00
