name,count
malignant thyroid stimulating hormone producing neoplasm of pituitary gland,59
TSH producing pituitary tumor,57
malignant ACTH producing neoplasm of pituitary gland,46
ovarian carcinosarcoma,41
congenital myasthenic syndrome 6,36
congenital disorder of glycosylation type I,36
malignant growth hormone secreting neoplasm of pituitary,34
feline panleukopenia,30
prolactin producing pituitary tumor,30
bile duct mucinous adenocarcinoma,29
thyroid Hurthle cell adenoma,27
childhood brain stem neoplasm,25
spinal accessory nerve neoplasm,25
uterine body mixed cancer,24
glycogen storage disease IXd,23
cerebellopontine angle primitive neuroectodermal,23
epidermal appendage tumor,22
olfactory nerve neoplasm,21
childhood malignant schwannoma,21
malignant cardiac peripheral nerve sheath neoplasm,21
functionless pituitary adenoma,20
glossopharyngeal nerve neoplasm,20
congenital disorder of glycosylation type II,20
cerebellopontine angle tumor,20
trigeminal nerve neoplasm,20
facial nerve neoplasm,20
B-cell childhood acute lymphoblastic leukemia,20
Thiel-Behnke corneal dystrophy,20
cervical clear cell adenocarcinoma,20
cervical endometrioid adenocarcinoma,20
transthyretin amyloidosis,20
hypoglossal nerve neoplasm,20
ovarian endodermal sinus tumor,20
central nervous system endodermal sinus tumor,20
vagus nerve neoplasm,20
abducens nerve neoplasm,19
trochlear nerve neoplasm,19
22q11.2 distal deletion syndrome,19
camptodactyly-arthropathy-coxa vara-pericarditis syndrome,19
congenital hereditary endothelial dystrophy of cornea,19
malignant pineal area germ cell neoplasm,19
orofaciodigital syndrome V,19
gastrointestinal system benign neoplasm,18
uterine benign neoplasm,18
breast secretory carcinoma,18
autosomal dominant retinal vasculopathy with cerebral leukodystrophy,18
neuronal ceroid lipofuscinosis 8 northern epilepsy variant,18
glycogen storage disease IXa,18
thalamic neoplasm,18
childhood central nervous system primitive neuroectodermal neoplasm,18
central nervous system melanocytic neoplasm,17
carnitine palmitoyltransferase I deficiency,17
Ehlers-Danlos syndrome progeroid type,17
rigid spine syndrome,17
Reis-Bücklers corneal dystrophy,17
colorectal carcinoma,17
immature teratoma of ovary,17
juvenile polyposis syndrome,17
blue cone monochromacy,17
uterine sarcoma,17
beta-ketothiolase deficiency,17
maxillary sinus squamous cell carcinoma,17
autosomal recessive palmoplantar keratoderma and congenital alopecia,17
orofaciodigital syndrome IV,17
Blepharo-cheilo-odontic syndrome,17
neuronal ceroid lipofuscinosis 1,17
3-methylglutaconic aciduria type 3,17
primary hyperoxaluria type I,16
Nager acrofacial dysostosis,16
B-cell adult acute lymphocytic leukemia,16
disease,16
CD3gamma deficiency,16
renal pelvis neoplasm,16
congenital myasthenic syndrome 10,16
distal spinal muscular atrophy type 3,16
Ferguson-Smith tumor,16
Joubert syndrome with orofaciodigital defect,16
distal hereditary motor neuropathy type 1,16
autosomal recessive hypercholesterolemia,16
small intestine neoplasm,16
neuronal ceroid lipofuscinosis 10,16
microcephaly lymphoedema chorioretinal dysplasia,16
Opitz-GBBB syndrome,16
congenital high-molecular-weight kininogen deficiency,16
"spondyloepimetaphyseal dysplasia, Strudwick type",16
orofaciodigital syndrome XI,16
Naxos disease,16
oral cavity carcinoma in situ,16
hepatobiliary neoplasm,16
infantile histiocytoid cardiomyopathy,16
supraglottis neoplasm,16
Alpha-thalassemia mental retardation syndrome,15
short-chain acyl-coenzyme A dehydrogenase deficiency,15
3-methylglutaconic aciduria type 5,15
sphenoidal sinus neoplasm,15
colon mucinous adenocarcinoma,15
dysequilibrium syndrome,15
autosomal dominant palmoplantar keratoderma and congenital alopecia,15
glycogen storage disease XV,15
intermediate spinal muscular atrophy,15
breast signet ring cell adenocarcinoma,15
endometrial adenocarcinoma,15
central nervous system primitive neuroectodermal neoplasm,15
cervical benign neoplasm,15
multiple pterygium syndrome,15
gelatinous drop-like corneal dystrophy,15
uterus leiomyosarcoma,15
anaplastic ependymoma,15
neuronal ceroid lipofuscinosis 5,15
pancreatic carcinoma,15
cervical squamous cell carcinoma,15
lung combined type small cell carcinoma,15
spondyloepiphyseal dysplasia with congenital joint dislocations,15
glycogen storage disease IXb,15
ethmoidal sinus neoplasm,15
renal hypomagnesemia 3,15
non-functioning pancreatic endocrine tumor,15
ATR-16 syndrome,15
type III Ehlers-Danlos syndrome,15
